"CODESTAB","DESCESTAB"
"2799839","HOSPITAL SAO FRANCISCO"
"2799847","HOSPITAL SAO MARCELO"
"2799855","HOSPITAL SUSY ZANFRETTA"
"2799944","UBS DE ANTONIO GONCALVES"
"2800047","HOSPITAL UNIMED VERA CRUZ"
"2800217","POSTO DE SAUDE DE AGUA VERMELHA"
"2800527","HOSPITAL MUNICIPAL FREI SILVERIO"
"2800675","UNIDADE INDIGENA I BARRA VELHA"
"2800888","HOSPITAL MUNICIPAL ANGELO LOPES"
"2800950","HOSPITAL DR PERCILIO ALVES DE OLIVEIRA"
"2801051","PRONTO SOCORRO CENTRAL DE DIADEMA"
"2801221","UBS MARIA TEREZA SAUDE DA FAMILIA"
"2801558","HOSPITAL MUNICIPAL ANTONIO JOAQUIM LOPES"
"2801566","HOSPITAL MUNICIPAL DR JOSE CARDOSO DOS APOSTOLOS"
"2801574","HOSPITAL MUNICIPAL DR LAURO JOAQUIM DE ARAUJO"
"2801582","HOSPITAL MUNICIPAL HERMENEGILDO DIAS DA SILVA"
"2801590","HOSPITAL MUNICIPAL JOANA CAJAIBA DE ANDRADE"
"2801779","POLICLINICA SAO MIGUEL"
"2801817","UNIDADE DE SAUDE DA FAMILIA EDUARDO SOUZA SANTOS"
"2801906","HOSPITAL MATERNIDADE SAO VICENTE DE PAULO"
"2801914","HOSPITAL MUNICIPAL DE SERRINHA"
"2801922","HOSCA"
"2802015","HOSPITAL E MATERNIDADE FREI RICARDO"
"2802023","HOSPITAL GERAL MENANDRO DE FARIA"
"2802031","HOSPITAL MATER DEI"
"2802058","HOSPITAL MUNICIPAL DE PORTO SEGURO"
"2802066","UNIDADE DO ARRAIAL CENTRO I"
"2802074","HOSPITAL MUNICIPAL DR JOAO BORGES DE CERQUEIRA"
"2802082","HOSPITAL JORGE VALENTE"
"2802090","HOSPITAL REGIONAL DEPUTADO LUIS EDUARDO MAGALHAES"
"2802104","HOSPITAL SANTO ANTONIO"
"2802112","HOSPITAL SAO JOSE MATERNIDADE SANTA HELENA"
"2802120","HOSPITAL SAO LUCAS"
"2802252","HOSPITAL MUNICIPAL DE JAGUAQUARA"
"2802473","HOSPITAL E MATERNIDADE LAURA DE VICUNA"
"2802783","HOSPITAL GETULIO VARGAS"
"2802880","UNIDADE DE SAUDE DA FAMILIA DA POMPEIA"
"2802996","HOSPITAL SAO CAMILO JARU"
"2803003","HOSPITAL VITORIA JARU"
"2803143","CENTRO DE SAUDE FLOR DA SERRA"
"2803232","PS KM 058 COSTA MARQUES"
"2803984","HOSPITAL SAO JUDAS TADEU"
"2804026","HOSPITAL EREMITA CARDOSO"
"2804034","HOSPITAL REGIONAL DE GUANAMBI"
"2804042","HOSPITAL REGIONAL REGIS PACHECO"
"2804247","UBS 08 RECANTO DAS EMAS SAO FRANCISCO"
"2804638","HOSPITAL MUNICIPAL JOSE BERNARDO DA SILVEIRA"
"2804921","POLICAN"
"2806215","HOSPITAL MUNICIPAL DR JOAO ELISIO DE HOLANDA"
"2806231","HOSPITAL SAO JOSE PASSOS"
"2806339","HOSP MUNICIPAL NATERCIA JUNIOR RIOS"
"2806576","UNIDADE DE SAUDE DA FAMILIA BENJAMIM SILVA"
"2806584","POSTO DE SAUDE BOA VISTA ESPIGAO DOESTE"
"2806614","CENTRO DE SAUDE COLINA VERDE GOV JORGE TEIXEIRA"
"2806630","CENTRO DE SAUDE DE BURITIS BURITIS"
"2806649","UNIDADE DE SAUDE DA FAMILIA DE EXTREMA"
"2806673","UNIDADE DE SAUDE DA FAMILIA NOVA MUTUM"
"2806681","HOSPITAL DE PEQUENO PORTE ENFERMEIRA ANA NERI"
"2806711","UNIDADE MISTA CHUPINGUAIA"
"2806738","HOSPITAL DE PEQUENO PORTE"
"2806746","CENTRO DE SAUDE DIFERENCIADO DE TARILANDIA JARU"
"2806754","UNIDADE MISTA DE SAUDE"
"2806819","CENTRO DE SAUDE GIRAO LINHA 28 NOVA MAMORE"
"2806878","CLINICA DA CRIANCA"
"2806886","UNIDADE DE SAUDE DA FAMILIA JACY PARANA"
"2806908","UNIDADE DE SAUDE DA FAMILIA MARIA N DA SILVA"
"2806924","POSTO DE SAUDE NOVO PARAISO ESPIGAO DOESTE"
"2806932","CENTRO DE SAUDE OSVALDO CRUZ JARU"
"2806967","UNIDADE DE SAUDE DA FAMILIA SAO CARLOS"
"2806991","UNIDADE DE SAUDE DA FAMILIA VISTA ALEGRE DO ABUNA"
"2807076","HOSPITAL REGIONAL DE BURITIS"
"2807084","HOSPITAL DE CACAULANDIA CACAULANDIA"
"2808501","UNIDADE MISTA ALVORADA DO OESTE"
"2808528","UNIDADE MISTA CABIXI"
"2808544","HOSPITAL MUNICIPAL DR PEDRO GRANGEIRO XAVIER"
"2808552","UNIDADE MISTA CORUMBIARA"
"2808560","UNIDADE MISTA COSTA MARQUES"
"2808579","UNIDADE MISTA CUJUBIM"
"2808587","UNIDADE MISTA ESPIGAO DOESTE"
"2808595","UNIDADE MISTA GOV JORGE TEIXEIRA"
"2808609","HOSPITAL MUNICIPAL SANDOVAL DE ARAUJO DANTAS JARU"
"2808617","HOSPITAL MUNICIPAL DE MACHADINHO DOESTE"
"2808625","UNIDADE MISTA MIRANTE DA SERRA"
"2808633","HOSPITAL MUNICIPAL ANCELMO BIANCHINI"
"2808641","HOSPITAL MUNICIPAL EXPEDITO GONCALVEZ FERREIRA"
"2808668","HOSPITAL MUNICIPAL MASSAO OKAMOTO"
"2808676","HOSPITAL DE PEQUENO PORTE OSVALDO CRUZ"
"2808684","UNIDADE MOVEL TERRESTRE"
"2808889","HOSPITAL SAO RAFAEL"
"2809176","AVELINO CAMPAGNOLO"
"2809532","ACO"
"2809990","HOSPITAL DR CAMPAGNOLO"
"2810018","HOSPITAL E MATERNIDADE BENEFICENTE LAR BELEM"
"2810026","HOSPITAL E MATERNIDADE CAPRIOTTI LTDA"
"2810034","HOSPITAL MUNICIPAL E MATERNIDADE MENINO JESUS"
"2810042","HOSPITAL E MATERNIDADE NOSSA SRA DO PERPETUO SOCORRO"
"2810050","HOSPITAL E MATERNIDADE QUATRO PONTES LTDA"
"2810069","HOSPITAL E MATERNIDADE SANTA CRUZ"
"2810085","HOSPITAL MARIPA"
"2810093","HOSPITAL MENINO DEUS"
"2810107","HOSPITAL MUNICIPAL PADRE PALMIRO FINATO"
"2810115","HOSPITAL E MATERNIDADE MAEDA"
"2810123","HOSPITAL SANTA RITA"
"2810131","HOSPITAL SAO LUCAS"
"2810158","HOSPITAL SAO PAULO"
"2810166","HOSPITAL SAO PEDRO"
"2811278","UNIDADE HOSPITALAR MANUEL MATIAS"
"2811618","UMS MUNICIPAL ENF MARIA DE FATIMA G FERREIRA"
"2811626","HOSPITAL METROPOLITANO CAMPINAS"
"2811782","CASA DE SAUDE E MATERNIDADE SANTA TEREZINHA"
"2811847","CENTERCLIN CENTRO DE PESQUISAS CLINICAS LTDA"
"2812681","UNIDADE MISTA DE SAUDE SANTA CRUZ DE IRACEMAPOLIS"
"2813483","CAPS CENTRO DE ATENCAO PSICOSSOCIAL"
"2814048","HOSPITAL E MATERNIDADE PONTE NOVA"
"2814056","HOSPITAL MARIANA PENEDO"
"2814080","LABORATORIO NOSSA SENHORA DA DIVINA PROVIDENCIA"
"2814188","PERINATAL LARANJEIRAS CASA DE SAUDE LARANJEIRAS"
"2814633","ECOCLINICA FEMENINA"
"2814811","UNIDADE PSF COLUBANDE 24 25"
"2814897","HOSPITAL REGIONAL DO GUARA I"
"2815214","IMESA"
"2815761","HOSPITAL MUNICIPAL SAO JOAO BATISTA"
"2815834","MATERNIDADE DE RIACHUELO"
"2815915","HOSPITAL E MATERNIDADE DR CARLOS FIRPO"
"2815931","HOSPITAL ANGELINE"
"2815966","HOSPITAL SANTA LUCIA"
"2816024","CLINICA DE SAUDE DA FAMILIA CONEGO JOAO LIMA FEITOSA"
"2816210","HOSPITAL GOVERNADOR JOAO ALVES FILHO"
"2816776","UNIDADE DE VIGILANCIA SANITARIA DE FORTIM"
"2816830","HOSPITAL MUNICIPAL MARIA AMELIA SANTOS"
"2816881","HOSPITAL SAO LUCAS"
"2817667","HOSPITAL CRISTO REI"
"2817764","POSTO DE SAUDE MANOEL LUIZ RODRIGUES"
"2817853","CENTRO DE SAUDE DR PEDRO ARMANDO GATTI"
"2817861","UBSF JOSE SALOMAO"
"2817888","CENTRO DE SAUDE NEWTON AZEVEDO"
"2817950","HOSPITAL JOAO HENRIQUE"
"2818124","DAS DEPARTAMENTO DE ASSISTENCIA SOCIAL P MACHADO"
"2818183","HOSPITAL DE TORRINHAS PINHEIRO MACHADO"
"2818450","CENTRO DE SAUDE SAO JOSE DO NORTE"
"2818558","UBSF TAIM"
"2819120","HOSPITAL E MATERNIDADE SANTA MARIA"
"2819139","FUNDACAO HOSPITALAR DE IPIAU"
"2819147","HOSPITAL E MATERNIDADE DE CANDIBA"
"2819201","SEMED"
"2819325","HOSPITAL GERAL SANTA EDWIGES"
"2819473","HOSPITAL SERRA MAYOR"
"2819856","UBS UNIAO DE V NOVA II ADAO MANOEL"
"2819864","HOSPITAL CENTRAL DE PIRABAS"
"2819899","PRONTOMED ADULTO"
"2820072","UNIDADE SAUDE FAMILIA BELEM MARIA DO SOCORRO BILIO"
"2822318","UNIDADE DE PRONTO ATENDIMENTO 24 HORAS"
"2823160","CENTRO MEDICO DR OTTO ALENCAR"
"2823209","HOSPITAL E PRONTO SOCORRO PORTINARI"
"2823330","UNIDADE DE SAUDE DA FAMILIA DE CATU"
"2823985","CARDIOLYFE"
"2824213","UBS MOMBUCA GUATAPARA"
"2824469","CLINICA SANTO ANTONIO"
"2825058","NEUROCENTRO"
"2825260","PRONTO SOCORRO UPA 24H"
"2825309","MEDICAL LIMEIRA"
"2825589","METROPOLITANA DE SARANDI"
"2825856","HOSPITAL UNIMED"
"3000729","PRONTO SOCORRO DE FRATURAS DA BEIRA RIO"
"3000850","HOSPITAL VITA CURITIBA"
"3000869","HOSPITAL SANTA CRUZ"
"3000877","MATERNIDADE CURITIBA"
"3000907","HOSPITAL E MATERNIDADE SANTA BRIGIDA"
"3001083","UNIDADE MISTA DE SAUDE DE SAPUCAIA"
"3001377","HOSPITAL JOAO PAULO II"
"3001458","PENITENCIARIA FEMININA DO BUTANTAN"
"3001652","VILA SERENIDADE SOROCABA"
"3001814","SEMEC CENTRO MEDICO HOSPITALAR AGENOR PAIVA"
"3002470","CLINICA HIGIA SC LTDA"
"3002918","HOSPITAL DA ORDEM DO CARMO"
"3003140","HOSP PANAMERICANO"
"3003191","CASA DE SAUDE E MATERNIDADE SAO JOSE LTDA"
"3003221","COTEFIL SA"
"3003248","HOSPITAL SANTA BRANCA"
"3003264","HOSPITAL DE CLINICAS SAO VICENTE"
"3003361","HOSPITAL BENEFICENCIA PORTUGUESA DE BAURU"
"3003469","HOSPITAL MUNICIPAL DE ELDORADO DO CARAJAS"
"3003590","CASA DE SAUDE E MATERNIDADE JOAO XXIII"
"3004104","MATERNIDADE AZILDA DA SILVA MARREIROS"
"3004376","HOSPITAL DE OLHOS DE GOVERNADOR VALADARES"
"3004384","USF CESAR NETO BOTUCATU"
"3004392","USF PARQUE MARAJOARA BOTUCATU"
"3004465","CENTRO DE SAUDE DE PEDRA PRETA"
"3004570","ESF DE PONTA DO MEL"
"3004724","AMBULATORIO DE ONCOLOGIA SCRPARDO"
"3004791","SARAH BELO HORIZONTE"
"3005011","NOROSPAR"
"3005372","HOSPITAL MENINO JESUS"
"3005402","HOSPITAL SANTA LUZIA"
"3005593","HOSPITAL DAS NACOES"
"3005666","UBS SANTA CRUZ"
"3005712","UBASF SEDE"
"3005860","HOSPITAL MATERNIDADE MUNICIPAL NOSSA SENHORA APARECIDA"
"3005879","HOSPITAL JOARI"
"3005984","HOSPITAL ITALIANO"
"3005992","HOSPITAL COPA DOR"
"3006131","HOSPITAL SANTA MARIA MADALENA"
"3006204","CLINICA SANTA CLARA"
"3006476","US 290 PSF DA MANGABEIRA"
"3006522","HOSPITAL MOINHOS DE VENTO"
"3006565","POLICLINICA CENTRAL DE ATENDIMENTO MEDICO P MACHADO"
"3006956","SEMIC CENTRO MEDICO BOTAFOGO"
"3007472","US3 MISTA SAO JOAO BATISTA"
"3007847","HOSPITAL MAE DE DEUS"
"3008002","HOSPITAL DE AVILA"
"3008045","HOSPITAL DAS CLINICAS"
"3008185","PRONTO CLINICA BOM JESUS"
"3008398","CASA DE SAUDE SANTOS"
"3008436","HOSPITAL SANTO ANTONIO"
"3008576","AMIU BOTAFOGO"
"3009076","SECRETARIA MUNICIPAL DE SAUDE"
"3009408","PS CORONEL PRISCO MEDEIROS"
"3009564","UBS CENTRO II"
"3009718","PRONTO ATENDIMENTO MUNICIPAL DE ARCEBURGO"
"3009890","PSF VF18"
"3009939","HOSPITAL LAGO SUL"
"3009947","CLINICA SAO CARLOS"
"3009955","CENTRO DE SAUDE CRUZEIRO DO SUL"
"3009963","HOSPITAL NOSSA SENHORA DE NAZARE"
"3010104","HOSPITAL SAO LUCAS"
"3010317","CLINICA SAO ROQUE"
"3010856","ASSISTENCIA MEDICA SAO BERNARDO"
"3010864","UNIDADE DE SAUDE DA FAMILIA DR JOSE FERNANDES ARAUJO"
"3010902","UNIDADE MISTA HOSPITALAR DR ADELMARIO PINHEIRO"
"3012034","LIGA SOBRALENSE"
"3012123","CLINICA ORTOPEDIA E FISIOTERAPIA GARAVELO"
"3012212","HU HOSPITAL UNIVERSITARIO"
"3012611","CASA DE SAUDE BOM JESUS"
"3012840","PRONTO AT MUN MONS JOSE ROB DA SILVA CON OUROS"
"3012964","AMIU FREGUESIA JPA"
"3012980","POSTO DE SAUDE NOVO PROGRESSO"
"3013014","HOSPITAL DO AMPARO"
"3013146","HOSPITAL DE CLINICAS 24 HORAS"
"3013162","HMA"
"3013359","HOSPITAL MUNICIPAL DE FEIRA DA MATA"
"3013367","UNIDADE DE SAUDE DA FAMILIA DE FEIRA DA MATA"
"3013383","HOSPITAL DE CLINICAS ALAMEDA"
"3013588","HOSPITAL MONTE SINAI"
"3014509","HOSPITAL E MATERNIDADE DR LIMA LTDA"
"3014673","HOSPITAL DANIEL LIPP LTDA"
"3014681","HOSPITAL DE CLINICAS MARIO LIONI"
"3015343","MATERNIDADE BRASILINA BARBOSA DE MIRANDA"
"3015351","MATERNIDADE SINHA DONA"
"3015408","UNIDADE DE EMERGENCIA DR DANIEL HOULY"
"3015874","HOSP MAT MODELO"
"3016501","CASA DE SAUDE E MATERNIDADE SANTA MARTHA"
"3016986","HOSPITAL LUIZ EDUARDO MAGALHAES"
"3017028","CENTRO DE SAUDE DE ANGICAL"
"3017060","ABOSCO"
"3017230","HOSPITAL MUNICIPAL DE BURITI DE GOIAS"
"3017265","E A S SEGISMUNDO GONCALVES DIVINEIA"
"3017362","ACTUAL CLINICA"
"3017680","HOSPITAL DAS CLINICAS DE BRASILIA"
"3017869","GASTRO MED CENTER"
"3018032","CASA DE SAUDE SANTA THEREZINHA"
"3018172","HOSPITAL MUNICIPAL MATERNO INFANTIL NOSSA SENHORA DAS MERCES"
"3018245","CENTRO DE SAUDE III"
"3018288","HOSPITAL BOM SAMARITANO DE ARTUR NOGUEIRA"
"3018504","CAPS II DOMINGOS STAMATO SAO VICENTE"
"3018520","HOSPITAL SAO FRANCISCO"
"3018903","HOSPITAL UNIMED UNIDADE MIGUEL COUTO"
"3019012","HOSP DE CLINICAS J HELENA"
"3019063","HOSPITAL ALBERT SABIN"
"3019071","USF MAURICIO SABINO DA SILVA"
"3019403","SERVICO DE AMBULANCIA"
"3019519","CASA DE SAUDE SAO MARCOS"
"3019527","CASA DE SAUDE NOSSA SENHORA DE FATIMA N IGUACU S A"
"3019608","HOSPITAL SANTA HELENA"
"3019616","PRONTONORTE"
"3019624","CASA DE SAUDE GRANDE RIO LTDA"
"3019764","HOSPITAL DE CLINICAS BANGU"
"3020002","POSTO DE SAUDE DE MANSIDAO"
"3020290","CLINICA DOUTOR FRANCISCO ALVES"
"3020401","ESTRATEGIA SAUDE DA FAMILIA DO DABARU"
"3021114","SANTA CASA DE MISERICORDIA DE SOBRAL"
"3021203","MATERNIDADE SANTA LUZIA"
"3021378","HOSPITAL MUNICIPAL DE SAO VICENTE"
"3021580","USF SERRA GRANDE"
"3021882","USF PROF JOSE SILVEIRA"
"3022935","HOSPITAL BARRA DOR"
"3023036","HOSPITAL MUNICIPAL EDESIA ROCHA NEVES"
"3023168","SAMU"
"3023346","USF DO CAMPO GRANDE"
"3024032","PRONIL HOSPITAL DE CLINICAS ANTONIO PAULINO"
"3024571","HOSPITAL NILZA DE OLIVEIRA PIPINO"
"3024628","HOSPITAL MUNICIPAL DE CURIUVA"
"3024644","ABCR DE JUAZEIRO DO NORTE"
"3024660","HOSPITAL E MATERNIDADE ASSUNCAO"
"3025020","PRONTO SOCORRO DE FRATURAS"
"3025195","NOSSA CASA PLANALTO DE MINAS"
"3027244","POLICLINICA NOSSA SENHORA DE LOURDES"
"3027600","HOSPITAL SAO CAMILO IPIRANGA"
"3027805","HOSPITAL SAN PAOLO"
"3027813","MASTER CLIN"
"3028399","HOSPITAL ESTADUAL PROF CARLOS DA SILVA LACAZ FCO MORATO"
"3028429","CLINICA SAO JOSE"
"3028593","HOSPITAL MUNICIPAL CRISTINO ANANIAS DE CAMPOS"
"3028925","HOSP DE REF SAUDE DA FAMILIA DR ANTONIO DOS S MUNIZ"
"3028984","UNIDADE DE SAUDE E MATERNIDADE SANTINA TDE ALBUQUERQUE"
"3029204","CENTRO SOCIAL URBANO"
"3029530","UNIDADE SAUDE DA FAMILIA HELENITA SOARES"
"3030121","HOSPITAL ANCHIETA LTDA"
"3030415","BENEFICENCIA PORTUGUESA DE PETROPOLIS"
"3030806","HOSPITAL MUNICIPAL ANA NUNES LEITE"
"3031101","PSF LARANJEIRAS"
"3031128","PSF AUGUSTO PEDRO"
"3032191","UAI MORUMBI"
"3032825","HOSPITAL SAO CARLOS"
"3034445","HSA HOSPITAL SANTO ANTONIO"
"3034984","HOSPITAL QUINTA DOR"
"3035506","PSF BELA VISTA"
"3035972","CLINICA PROCIRURGICA"
"3037177","UNIDADE BASICA DE SAUDE ALVARO BRAGA"
"3037274","PRO MATRE PAULISTA"
"3037495","HOSPITAL EMEC"
"3038130","HOSPITAL UNIMED DE AMERICANA"
"3038211","UNIDADE DE SAUDE DA FAMILIA MENINO DEUS"
"3039196","PROGRAMA DE SAUDE DA FAMILIA RURAL"
"3039218","USF MANOEL NASCIMENTO DOS SANTOS MANEZINHO DA COBAN ESFI"
"3039250","HOSPITAL SAO MIGUEL"
"3039269","CLIM"
"3039420","HOSPITAL SAO CAMILO SANTANA"
"3039919","PA DE MONTE GORDO"
"3040119","HOSPITAL HELIO MONTEZANO DE OLIVEIRA"
"3040240","USF RIO DOS PEIXES"
"3040496","CENTRO DE CONVIVENCIA DONA ELZA MONTEIRO GUIMARAES"
"3040658","USF DE MARABITANAS"
"3041522","GYNETOCO LTDA"
"3042219","CASA DE SAUDE SANTA LUCIA"
"3042529","HOSPITAL POLICLIN"
"3042979","CAPS ESCOLA"
"3043185","HOSPITAL MUNICIPAL LUIS EDUARDO MAGALHAES"
"3043649","NOEL SACRAMENTO BARRETO"
"3044432","CENTRAL DE REGULACAO DO ACESSO AOS SERVCOS DE SAUDE"
"3044831","HOSPITAL POLICLIN CACAPAVA"
"3045331","UNIDADE MOVEL DE SAUDE DE BARRA DO RIBEIRO"
"3045625","HOSP MAT VIDAS"
"3046281","CASA DE SAUDE NOSSA SENHORA DO CARMO"
"3046303","HOSPITAL DE CLINICAS DR ALOAN"
"3046362","PRONTO CLINICA"
"3046559","PSF IX SAO DOMINGOS"
"3047091","HOSPITAL UNICLINIC"
"3047822","HOSPITAL SAO BERNARDO S A"
"3048209","HOSPITAL SANTA RITA"
"3048551","HOSPITAL BRASILIA"
"3048675","ESMERALDAS HOSPITAL MUNICIPAL 25 DE MAIO"
"3048721","HOSPITAL DR BADIM"
"3049213","UBS CHACARA STA MARIA"
"3049434","HOSPITAL E MATERNIDADE SAO LUCAS ESPIGAO DOSTE"
"3049442","INSTITUTO HOSPITALAR SANTO ANTONIO"
"3049450","HOSPITAL MEMORIAL ESPIGAO DOESTE"
"3050157","HOSPITAL ODONTOMED ITAJUBA"
"3050297","CLINICA SANTA PAULA LTDA POUSO ALEGRE"
"3051625","CLINICA DO ESPORTE ORTOPEDIA FRAT E FISIOTERAPIA LTDA"
"3053423","PROSAUDE HOSPITAL DE CLINICAS"
"3053601","HOSPITAL PROCLINICAS"
"3053687","GASTROCLINICA"
"3053857","HOSPITAL BINE SOARES"
"3054810","PSF 04 GUARANI URBANA"
"3056724","HOSPITAL UNIMED JOAO PESSOA"
"3057496","HOSPITAL TIJUCA"
"3057801","PSF 07 ERINEU DOS SANTOS"
"3058212","HOSPITAL DE IRAJA"
"3058336","CLINICA CIRURGICA SANTA BARBARA"
"3060063","CE JOSE DO PRADO FRANCO CONJ JARDIM"
"3060209","DEPARTAMENTO DE EPIDEMIOLOGIA"
"3060616","HOSPITAL E MATERNIDADE SAO LUCAS"
"3061337","PRONTO ATENDIMENTO MEDICO PAM"
"3061388","SOCIMED"
"3064085","USF PRUDENCIO SANTOS"
"3064115","HOSPITAL SAO MATHEUS"
"3065634","HOSPITAL DAS CLINICAS DE NITEROI"
"3067556","SAMCI HOSPITAL INFANTIL"
"3067645","SERVICO MUNICIPAL DE URGENCIA E EMERGENCIA"
"3068870","CLINICA SUGISAWA"
"3069516","HOSPITAL CEMEP"
"3070328","HOSPITAL UNIMED LINHARES"
"3073300","NOVACLINICA HOSPITAL E MATERNIDADE"
"3074889","HOSPITAL SANTA RITA LTDA"
"3075516","HOSPITAL SAO VICENTE"
"3075729","CLINICA SOMA"
"3078310","HOSPITAL RENASCER"
"3078760","HOSPITAL DE CLINICAS DA PENHA"
"3080706","CLINICA AMO CRATEUS"
"3083721","HOSPITAL MUNICIPAL DE CARUARU CASA DE SAUDE BOM JESUS"
"3086615","POSTO DE SAUDE BENEDITO PIRES SEGUNDO"
"3086844","CLINICA DO DOUTOR ANTONIO MATIAS"
"3089142","CENTRO HOSPITALAR GRANMATER LTDA"
"3090825","CENTRO DE SAUDE PADRE FRANCISCO LUPINO"
"3091104","CENTRO DE SAUDE DR LAFAYETTE GRENIER"
"3091899","RECANTO SAO CAMILO GRANJA VIANA"
"3094715","CONSULTORIO MEDICO DRA ERIKA BIAO"
"3094839","CASA DA MULHER YOLANDA PENTEADO LEME"
"3094863","UNIDADE MISTA DE SAUDE DRA ANGELICA GUIMARAES"
"3095541","ULTRAMED DAY HOSPITAL"
"3096386","CLINICA PEDIATRICA SAO JUDAS"
"3098346","SAMEC SERVICOS DE ASSISTENCIA MEDICA CORUMBAENSE LTDA"
"3098923","PRONTOMED"
"3100022","HOSPITAL SAMARITANO"
"3100472","CLINICA SANTA RITA"
"3101126","HOSPITAL SAO FRANCISCO SC LTDA"
"3101290","BANCO DE SANGUE DO HOSPITAL NOSSA SENHORA AUXILIADORA"
"3104257","HOSPITAL CASSEMS UNIDADE PONTA PORA"
"3106225","HOSPITAL AMAZONIA"
"3111075","UBS GUARANI"
"3111369","CLINICENTER"
"3112276","POSTO DE SAUDE DE SARACA"
"3112306","POSTO DE SAUDE DE TATUOCA"
"3112322","POSTO DE SAUDE DE TERE"
"3112349","ESTRATEGIA SAUDE DA FAMILIA DE JAPIM GRANDE"
"3112845","CENTRO DE SAUDE DENIZAL PEREIRA"
"3113175","CASA DE SAUDE BONSUCESSO"
"3113205","CASA DE PORTUGAL"
"3114554","HOSPITAL ALIANCA DE JACAREPAGUA"
"3115925","LABORATORIO SANTA ROSA"
"3119165","LABORATORIO DO HOSPITAL SANTA CASA DE CAMPO MOURAO"
"3120333","CLINICA SANTA PAULA"
"3122174","FEME"
"3123405","CLINICA SANTA MADRE"
"3125688","CLINICA NOSSA SENHORA DE FATIMA"
"3126838","HOSPITAL REGIONAL DO VALE DO PARAIBA"
"3126889","HOSPITAL E MATERNIDADE DR JUCA"
"3130339","CASA DE SAUDE E MATERNIDADE TEREZINHA DE JESUS LTDA"
"3130584","CLINICA SANTA LUCIA"
"3132528","MONTE SINAI CASA DE SAUDE E MATERNIDADE"
"3134423","HOSPITAL SAO SEBASTIAO"
"3134563","HOSPITAL MUNICIPAL DE CAMBARA"
"3135160","CLINICA DE OLHOS JAGUARIBE"
"3136795","MATERNIDADE SANTA LUCIA"
"3137163","HOSPITAL UNIMED BEBEDOURO"
"3137171","HOSPITAL UNIMED II"
"3137643","UBSF DR MOACYR BACELAR NUNES"
"3139050","HOSPITAL REGIONAL DE ITAPETININGA"
"3139301","HOSPITAL SEMMELWEIS"
"3139409","SIMAC SAUDE INTEGRAL DA MULHER"
"3141330","PRONTOCLINICA PASSO FUNDO"
"3142531","HOSPITAL SAO JORGE"
"3142663","HOSPITAL MUNICIPAL DE SAO JOSE DO RIO CLARO"
"3142701","HOSPITAL SAO FRANCISCO"
"3143333","CLINICA SAO SEBASTIAO"
"3143376","POLI CLINICA MATERNAL"
"3144704","CLIMEC"
"3146529","HOSPITAL RIO DE JANEIRO"
"3147428","CLINICA MATERNAL"
"3147797","CONSULTORIOS ODONTOMEDICOS ITAJUBA"
"3147932","UNIMED ITAJUBA COOPERATIVA DE TRABALHO ITAJUBA"
"3149153","HOSPITAL MUNICIPAL SCHLATER"
"3151247","CLINICA JABOUR"
"3151794","MATERNIDADE DE REFERENCIA ZONA LESTE ANA BRAGA"
"3152294","CASA DE SAUDE E MATERNIDADE SANTA JOANA"
"3152421","GDI GASTROCLINICA DIAGNOSTICO POR IMAGEM"
"3152928","HOSPITAL CANDIDO RONDON"
"3153320","CLINICA SAO DIMAS LTDA"
"3154564","CLINICA FISIOTERAPIA ORLECLINICA"
"3154955","IHEF MEDICINA LABORATORIAL"
"3156516","HOSPITAL CLIMED"
"3157245","HOSPITAL UNIVERSITARIO"
"3157725","HOSPITAL SAO JOSE"
"3158543","ORTOPTICA BRASIL"
"3160580","UNIDADE DE SAUDE DA FAMILIA VICENTE ANDERLE"
"3162834","JOSE WILSON FIGUEIREDO"
"3165019","GENESIS CENTRO MEDICO HOSPITALAR"
"3166597","HOSPITAL ADVENTISTA DE SAO PAULO"
"3167895","CIAS UNIMED VITORIA"
"3170527","UAI MARTINS DR JOAO FERNANDES DE OLIVEIRA"
"3171353","HMC HOSPITAL E MATERNIDADE CLINICA DA CRIANCA"
"3176355","URMED URGENCIAS MEDICAS"
"3177831","UNIDADE DE SAUDE DA FAMILIA DE IBIPEBA"
"3178498","PRONTO SOCORRO ANA COSTA DE PRAIA GRANDE"
"3180387","CLINICA SANTA ANA"
"3180867","POSTO DE SAUDE DA FOZ DO TAPAUA"
"3183084","CLINICA MOSTARDEIRO"
"3185095","PRONTO SOCORRO CLINICO PRONTOCOR"
"3185591","HOSPITAL SANTA MONICA"
"3186725","CLINICA SANTA MONICA LTDA"
"3187837","HOSPITAL PRO CARDIACO"
"3188213","MATERNIDADE SANTA URSULA"
"3188574","CENTRO MEDICO DA MULHER"
"3189546","HOSPITAL SAO CARLOS"
"3189805","POSTO DE SAUDE PARAISO DO NORTE"
"3191087","CLINICA DA PRIMEIRA IDADE"
"3191176","CLIMEDE CASA DE SAUDE E MATERNIDADE"
"3191737","HOSPITAL JARDIM VITORIA"
"3193195","HOSPITAL MUNICIPAL"
"3193993","MATER DAI"
"3194752","USF FELIPE CAMARAO III"
"3196135","FAMEDE"
"3196321","UNICLINICA"
"3198278","SESAU USF PAULO COELHO MACHADO"
"3198731","CENTRO ODONTOLOGICO INTERNACIONAL 24HS SC LTDA"
"3201376","CLINICA FEMINA"
"3201406","POSTO PRONTO ATENDIMENTO ZONA NORTE"
